Id. zařízení;Typ;Název zařízení;Obec;Ulice;Č.p.;Č.o.;M.část.;PSČ;Cizí vyučovací jazyk;Kapacita;Platnost zařízení;address
114200432;G21;Školní družina;České Budějovice;Kubatova;2080;14;České Budějovice 3;37004;;220;Platné;České Budějovice, Kubatova 2080/14
102475440;L11;Školní jídelna;České Budějovice;Kubatova;2202;1;České Budějovice 3;37004;;800;Platné;České Budějovice, Kubatova 2202/1
181015757;A00;Mateřská škola;České Budějovice;Kubatova;2080;14;České Budějovice 3;37004;;181;Platné;České Budějovice, Kubatova 2080/14
181015765;L13;Školní jídelna - výdejna;České Budějovice;Kubatova;2080;14;České Budějovice 3;37004;;181;Platné;České Budějovice, Kubatova 2080/14
060077212;B00;Základní škola;České Budějovice;L. Kuby;1165;48;České Budějovice 7;37007;;710;Platné;České Budějovice, L. Kuby 1165/48
114200556;G21;Školní družina;České Budějovice;L. Kuby;1165;48;České Budějovice 7;37007;;220;Platné;České Budějovice, L. Kuby 1165/48
102475598;L11;Školní jídelna;České Budějovice;L. Kuby;1165;48;České Budějovice 7;37007;;750;Platné;České Budějovice, L. Kuby 1165/48
181026775;A00;Mateřská škola;České Budějovice;L. Kuby;1165;48;České Budějovice 7;37007;;70;Platné;České Budějovice, L. Kuby 1165/48
060077417;B00;Základní škola;České Budějovice;Jírovcova;1793;9;České Budějovice 3;37001;;485;Platné;České Budějovice, Jírovcova 1793/9
114200564;G21;Školní družina;České Budějovice;Jírovcova;1793;9;České Budějovice 3;37001;;160;Platné;České Budějovice, Jírovcova 1793/9
181031914;A00;Mateřská škola;České Budějovice;Staroměstská;2095;16;České Budějovice 3;37004;;90;Platné;České Budějovice, Staroměstská 2095/16
181055937;L13;Školní jídelna - výdejna;České Budějovice;Jírovcova;1793;9;České Budějovice 3;37001;;750;Platné;České Budějovice, Jírovcova 1793/9
150007965;A00;Mateřská škola;Žimutice;;28;;Žimutice;37366;;22;Platné;Žimutice, 28
102023492;B00;Základní škola;Žimutice;;28;;Žimutice;37366;;36;Platné;Žimutice, 28
150007973;G21;Školní družina;Žimutice;;28;;Žimutice;37366;;20;Platné;Žimutice, 28
150007981;L11;Školní jídelna;Žimutice;;28;;Žimutice;37366;;65;Platné;Žimutice, 28
114201145;A00;Mateřská škola;Čejkovice;;64;;Čejkovice;37341;;28;Platné;Čejkovice, 64
163000441;L13;Školní jídelna - výdejna;Čejkovice;;64;;Čejkovice;37341;;28;Platné;Čejkovice, 64
107530121;A00;Mateřská škola;Borek;U Školky;195;;Borek;37367;;77;Platné;Borek, U Školky 195
102023522;B00;Základní škola;Borek;U Školky;195;;Borek;37367;;120;Platné;Borek, U Školky 195
114200785;G21;Školní družina;Borek;U Školky;195;;Borek;37367;;90;Platné;Borek, U Školky 195
102463514;L11;Školní jídelna;Borek;U Školky;195;;Borek;37367;;200;Platné;Borek, U Školky 195
107530473;A00;Mateřská škola;Dolní Bukovsko;nám. Jiráskovo;31;;Dolní Bukovsko;37365;;101;Platné;Dolní Bukovsko, nám. Jiráskovo 31
107720353;B00;Základní škola;Dolní Bukovsko;nám. Jiráskovo;31;;Dolní Bukovsko;37365;;210;Platné;Dolní Bukovsko, nám. Jiráskovo 31
114200645;G21;Školní družina;Dolní Bukovsko;nám. Jiráskovo;31;;Dolní Bukovsko;37365;;80;Platné;Dolní Bukovsko, nám. Jiráskovo 31
102475491;L11;Školní jídelna;Dolní Bukovsko;nám. Jiráskovo;31;;Dolní Bukovsko;37365;;410;Platné;Dolní Bukovsko, nám. Jiráskovo 31
