Id. zařízení;Typ;Název zařízení;Obec;Ulice;Č.p.;Č.o.;M.část.;PSČ;Cizí vyučovací jazyk;Kapacita;Platnost zařízení;address
181071894;A00;Mateřská škola;České Budějovice;Chelčického;110;16;České Budějovice 6;37001;;12;Platné;České Budějovice, Chelčického 110/16
181071908;L13;Školní jídelna - výdejna;České Budějovice;Chelčického;110;16;České Budějovice 6;37001;;12;Platné;České Budějovice, Chelčického 110/16
181072823;A00;Mateřská škola;Libníč;;47;;Libníč;37371;;28;Platné;Libníč, 47
181072831;L13;Školní jídelna - výdejna;Libníč;;47;;Libníč;37371;;28;Platné;Libníč, 47
181074532;A00;Mateřská škola;České Budějovice;Lannova tř.;90;49;České Budějovice 6;37001;;15;Platné;České Budějovice, Lannova tř. 90/49
181074541;L13;Školní jídelna - výdejna;České Budějovice;Lannova tř.;90;49;České Budějovice 6;37001;;15;Platné;České Budějovice, Lannova tř. 90/49
181075041;A00;Mateřská škola;České Budějovice;Husova tř.;685;17;České Budějovice 2;37005;;34;Platné;České Budějovice, Husova tř. 685/17
181075059;L13;Školní jídelna - výdejna;České Budějovice;Husova tř.;685;17;České Budějovice 2;37005;;80;Platné;České Budějovice, Husova tř. 685/17
181078392;B00;Základní škola;České Budějovice;Husova tř.;685;17;České Budějovice 2;37005;;54;Platné;České Budějovice, Husova tř. 685/17
181087880;G21;Školní družina;České Budějovice;Husova tř.;685;17;České Budějovice 2;37005;;30;Platné;České Budějovice, Husova tř. 685/17
181076101;B00;Základní škola;České Budějovice;Emy Destinové;1138;46;České Budějovice 2;37005;;540;Platné;České Budějovice, Emy Destinové 1138/46
181076969;G21;Školní družina;České Budějovice;Emy Destinové;1138;46;České Budějovice 2;37005;;195;Platné;České Budějovice, Emy Destinové 1138/46
181086328;A00;Mateřská škola;České Budějovice;Emy Destinové;1138;46;České Budějovice 2;37005;;75;Platné;České Budějovice, Emy Destinové 1138/46
181086336;L11;Školní jídelna;České Budějovice;Emy Destinové;1138;46;České Budějovice 2;37005;;615;Platné;České Budějovice, Emy Destinové 1138/46
181076110;B00;Základní škola;České Budějovice;Nová;1871;5;České Budějovice 3;37001;;450;Platné;České Budějovice, Nová 1871/5
